step,car_id,x,y
1,4,7,7
3,2,4,2
9,7,3,5
9,12,3,5
9,19,3,5
10,3,7,2
10,9,7,2
10,15,7,2
17,16,0,1
17,17,0,1
28,18,5,5
28,19,5,5
39,4,8,7
39,13,8,7
44,11,5,0
50,3,7,0
50,6,7,0
50,15,7,0
55,3,7,1
55,6,7,1
55,15,7,1
56,13,9,8
76,1,4,8
78,1,6,9
85,3,6,1
85,6,6,1
89,9,8,4
106,12,4,5
106,19,4,5
118,2,3,0
118,11,3,0
125,9,7,3
127,4,9,6
127,13,9,6
145,0,1,6
145,5,1,6
145,7,1,6
145,8,1,6
147,9,6,4
147,18,6,4
148,10,1,3
148,14,1,3
154,3,8,1
154,6,8,1
154,15,8,1
163,7,1,4
163,10,1,4
163,14,1,4
169,0,1,7
169,5,1,7
169,8,1,7
187,3,6,2
187,9,6,2
193,0,1,8
193,5,1,8
210,0,2,8
226,2,3,2
254,3,6,0
254,6,6,0
263,7,2,5
263,8,2,5
263,12,2,5
276,12,4,6
276,19,4,6
283,4,9,5
292,8,0,5
292,10,0,5
293,4,8,6
293,13,8,6
295,3,8,0
295,6,8,0
295,15,8,0
298,7,2,4
313,2,4,1
313,11,4,1
316,1,4,9
321,11,5,1
323,4,8,5
331,10,0,3
331,14,0,3
346,2,3,1
346,11,3,1
364,10,0,4
364,14,0,4
365,18,5,4
383,4,7,6
383,18,7,6
384,2,2,2
395,1,5,9
425,18,6,5
426,0,2,6
426,7,2,6
426,8,2,6
426,12,2,6
444,14,0,2
444,16,0,2
477,15,9,1
495,7,3,4
497,12,3,7
497,19,3,7
